# Data printout from CCMC-simulation: version PD4D-1.3
# Data type:  TIE-GCM  ionosphere
# Run name:   Nick_Gross_071624_IT_1
# Missing data:          NaN
# Coordinate System: GEO
# Satellite Track: gracefo1_512972009515
# Output data: field with 1x7181=7181 elements
# Year Month Day Hour Min Sec    Lon    Lat    H            T_n        Vn_Lon        Vn_Lat        WN        rho(O2)        rho(O)        N2        rho(NO)        rho(N4S)        HE        N_e        T_e        T_i        TEC        N(O2+)        N(O+)        PHI        Vi_Lon        Vi_Lat        Vi_IP        DEN        QJOULE        HMF2        NMF2        Z        ZG        SIGMA_PED        SIGMA_HAL        NO_COOL        T_lbc        Vlbc_Lon        Vlbc_Lat        TN_lbc        VN,lbc_Lon        VN,lbc_Lat        NmF2        HmF2        
#  [year]  [month]  [day]  [h]  [m]  [s]  [deg]  [deg]  [km]  [K]  [m/s]  [m/s]  [m/s]  [mmr]  [mmr]  [mmr]  [mmr]  [mmr]  [mmr]  [cm-3]  [K]  [K]  [TECU]  [cm-3]  [cm-3]  [V]  [m/s]  [m/s]  [m/s]  [kg/m3]  [mW/kg]  [km]  [cm-3]  [km]  [km]  [S/m]  [S/m]  [mW/kg]  [K]  [m/s]  [m/s]  [K]  [m/s]  [m/s]  [cm-3]  [km]
2024  05  09  00  41   0.000     -113.22      7.7700      474.54      1418.2     -9.9544     -16.690      1.5295   0.0017607     0.87953     0.11870  3.7768E-05    0.020062      0.0000  2.9412E+06      1418.9      1418.8      100.40      16.267  2.8424E+06     -841.10     -15.348      1.5097    -0.99288  3.0051E-12      1872.3      457.94  3.0397E+06      485.44      474.54  9.4972E-06  6.2036E-09      15.572      185.25     -17.130      7.9087      185.26     -17.135      7.9003  3.0885E+06      438.77
2024  05  09  00  42   0.000     -113.40      3.9400      474.78      1410.3     -11.074     -16.308      1.4180   0.0017738     0.88137     0.11685  3.7964E-05    0.018962      0.0000  2.6137E+06      1411.3      1411.1      92.578      16.393  2.5754E+06     -737.59     -18.219      2.8663      1.1136  2.9732E-12      1948.7      489.79  2.4679E+06      485.64      474.78  9.2943E-06  6.2545E-09      15.345      185.28     -12.942     0.89468      185.29     -12.944     0.89135  2.6196E+06      477.60
2024  05  09  00  43   0.000     -113.58     0.11000      475.02      1404.8     -10.087     -15.156      1.5238   0.0017844     0.88286     0.11535  3.8047E-05    0.018158      0.0000  2.0588E+06      1405.9      1405.7      80.104      17.167  2.0415E+06     -665.01     -20.456      3.4917      2.8533  2.9432E-12      1690.2      499.55  1.9386E+06      485.87      475.02  7.8301E-06  5.3919E-09      15.118      185.61     -11.798     -6.8613      185.63     -11.801     -6.8594  2.0646E+06      479.18
2024  05  09  00  44   0.000     -113.76     -3.7200      475.27      1400.1     -8.8222     -13.479      1.6126   0.0017821     0.88454     0.11368  3.7849E-05    0.017629      0.0000  1.7944E+06      1401.5      1401.2      72.937      17.473  1.7724E+06     -626.47     -21.639      3.5473      4.0373  2.9136E-12      1472.5      492.11  1.6987E+06      486.13      475.27  7.1024E-06  4.9641E-09      14.804      186.26     -12.868     -13.855      186.27     -12.870     -13.847  1.7969E+06      477.71
2024  05  09  00  45   0.000     -113.94     -7.5400      475.52      1395.5     -6.3207     -11.376      1.6455   0.0017672     0.88672     0.11151  3.7335E-05    0.017254      0.0000  1.7853E+06      1396.8      1396.6      72.225      17.011  1.7578E+06     -638.08     -21.099      3.1279      4.2922  2.8851E-12      1385.2      490.55  1.7686E+06      486.40      475.52  7.1493E-06  5.0049E-09      14.395      186.92     -17.632     -18.638      186.93     -17.634     -18.627  1.7865E+06      477.00
2024  05  09  00  46   0.000     -114.12     -11.370      475.77      1390.6     -2.7960     -8.8282      1.6229   0.0017384     0.88943     0.10884  3.6488E-05    0.016985      0.0000  1.9884E+06      1391.8      1391.6      77.253      15.868  1.9590E+06     -687.71     -18.523      2.4875      3.7337  2.8559E-12      1376.9      494.23  2.0253E+06      486.70      475.77  7.8896E-06  5.4645E-09      13.869      187.63     -24.551     -20.769      187.63     -24.554     -20.756  1.9898E+06      476.00
2024  05  09  00  47   0.000     -114.30     -15.200      476.02      1385.2     0.27200     -6.1818      1.6125   0.0016842     0.89273     0.10558  3.5069E-05    0.017017      0.0000  2.5771E+06      1386.2      1386.1      90.414      14.108  2.5224E+06     -763.21     -15.146      2.1456      2.2531  2.8248E-12      1416.6      474.95  2.6943E+06      487.01      476.02  9.7790E-06  6.6083E-09      13.128      187.77     -31.593     -18.642      187.78     -31.596     -18.628  2.6087E+06      460.94
2024  05  09  00  48   0.000     -114.48     -19.020      476.27      1379.4      4.3993     -4.5128      1.8633   0.0016102     0.89618     0.10221  3.3155E-05    0.017463      0.0000  3.0724E+06      1380.5      1380.3      103.16      12.717  2.9508E+06     -841.49     -10.745      2.1852     0.16043  2.7908E-12      1497.6      439.85  3.4064E+06      487.34      476.27  1.0804E-05  7.0530E-09      12.207      187.38     -39.553     -15.918      187.38     -39.558     -15.903  3.3490E+06      432.20
2024  05  09  00  49   0.000     -114.65     -22.850      476.52      1373.3      12.536     -5.0976      2.2308   0.0015361     0.89952    0.098949  3.1074E-05    0.018070      0.0000  2.8479E+06      1374.6      1374.4      103.38      12.130  2.6914E+06     -903.83     -4.7339      2.5228     -2.2784  2.7562E-12      1857.8      409.15  3.5644E+06      487.69      476.53  9.1394E-06  5.7310E-09      11.264      186.23     -47.321     -12.153      186.23     -47.325     -12.138  3.5811E+06      400.05
2024  05  09  00  50   0.000     -114.82     -26.670      476.78      1367.0      23.304     -7.1115      2.5278   0.0014762     0.90291    0.095606  2.9225E-05    0.018287      0.0000  2.3634E+06      1369.0      1368.6      94.288      11.886  2.2212E+06     -928.95     0.38330      3.5919     -4.8305  2.7135E-12      2839.5      389.77  3.2788E+06      488.04      476.78  6.8835E-06  4.1066E-09      10.396      184.17     -49.539     -9.0571      184.17     -49.545     -9.0412  3.3141E+06      376.48
2024  05  09  00  51   0.000     -114.98     -30.500      477.04      1360.0      35.490     -10.229      2.7608   0.0014238     0.90670    0.091880  2.7566E-05    0.018011      0.0000  2.0022E+06      1364.2      1363.2      84.242      11.590  1.8809E+06     -895.34      7.1644      4.5537     -7.2564  2.6604E-12      3875.9      378.93  2.9390E+06      488.42      477.04  5.2577E-06  2.9609E-09      9.5744      181.88     -48.938     -8.2637      181.89     -48.943     -8.2474  2.9294E+06      362.84
2024  05  09  00  52   0.000     -115.13     -34.320      477.30      1351.4      46.510     -13.966      2.8614   0.0013662     0.91104    0.087590  2.5839E-05    0.017493      0.0000  1.7680E+06      1361.4      1358.6      76.897      11.057  1.6588E+06     -784.17      12.658      5.8781     -9.3423  2.5950E-12      5132.8      371.92  2.7154E+06      488.81      477.30  4.1444E-06  2.1866E-09      8.7009      179.45     -46.701     -10.152      179.45     -46.709     -10.135  2.6796E+06      356.13
